title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Hamybas/ToDo-List;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://hamybas-portfolio-site-streamlit-home-page-rtppip.streamlit.app/;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Hamybas/PDF-Template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Hamybas/Invoice_generator;4.png
News Extractor;A script that extracting specific news and sending them by email.;https://github.com/Hamybas/News_extractor;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Hamybas/Weather-API;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/Hamybas/Tour_scapper;8.png
Helper Chatbot;A chatbot that use OPENAI API.;https://github.com/Hamybas/ChatBot-GUI;9.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Hamybas/WebCamera_Alert;11.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://github.com/Hamybas/Jupiter_NLTK_Analyzer;12.png
Visualizing Data;A program that visualizes the data collected in the Typing Analyzer. ;https://github.com/Hamybas/Jupiter_NLTK_Analyzer;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/Hamybas/Weather_Forecast;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Hamybas/Student_managment_sql;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/Hamybas/Student_managment_mysql;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/Hamybas/Restaurant_menu;19.png
Job Application Form DJANGO;A Django web app where future employers can send their data for contact;https://github.com/Hamybas/Job_Appl_Django;15.png
Job Application Form FLASK;A Flask web app where future employers can send their data for contact;https://github.com/Hamybas/Job_Appl_Flask;20.png
Efficiency Calculator; A simple calculator with formula for PathOfExile reservation and DEF stacking for GBF;https://github.com/Hamybas/Efficency_Calc;7.png
Movie Recommendation Systems;A basic concepts of Machine Learning modules and their usage;https://github.com/Hamybas/Movie-Recomandation-Systems;14.png
